X,Y
-904.8377980796,2961748.75832962
-2437.21644357476,1855874.70966344
-2897.28683497843,3414187.57791714
-2754.52864470839,1885959.77309181
-4549.05180639478,1931690.98849565
4890.62670337057,542241.753117196
-4533.90237809244,2426424.55272066
2492.13479834522,2995303.87514424
-974.919747956839,1865390.9615209
-3348.02756903744,2631992.71798099
7298.20032372651,3666761.80537201
2139.32001501488,2594767.69932824
5470.98414229333,3177201.80921011
8523.11845001933,2837480.87802885
5091.98478939601,993696.798614392
-1790.65156974937,1552622.2453257
9046.91757512876,2847225.28836882
775.614544545315,1737272.61868739
5311.32970910243,2560560.00969598
-277.245925676209,2841942.43449575
907.833973201006,2300535.99610565
6350.72147726156,2785926.85881356
-2278.62673442437,2169421.22666317
6245.49303185121,1713772.47111319
13672.5730807517,2481911.19898025
17759.3152291755,2342506.93094465
765.871508081393,1632015.94697616
8573.06130119093,3190673.06687123
9219.46900199264,2375351.23122284
-455.323454456848,2904159.19977031
10551.6800245904,1540252.91505455
2033.29039428785,1547617.94988179
-2785.59402724829,1612100.88726838
5229.62891083522,1275648.60893054
1286.02281490961,2550572.10826824
-4978.58924629232,2965828.85505262
2498.98484077234,1527206.01025308
-126.582975005935,1318917.25701001
-1739.14543533803,2343173.83842054
-3030.0662904561,2122134.64000982
2502.95228004873,2111295.12866958
9513.33998671769,2643879.01808646
6656.15868731073,2195614.44240126
953.44598148997,4517.14929291652
2571.11751322072,2123624.47018033
-3702.63412115277,1772793.74789071
-282.93168552444,605493.385773002
-1688.49565897539,2933394.55688546
10339.0906832128,2521357.79154591
2320.72988422109,3630212.29643158
-2360.34237446903,1836031.23263471
2745.4726263558,616912.838241198
-1559.88042344928,2072449.908883
-2572.68254058662,2189222.21611506
15504.8902097718,2285690.85505218
-1020.01136544357,891116.519536175
5452.41953690373,5180857.91630937
-3111.50064267547,2253243.59913906
565.079206989401,1523995.09260744
1652.41981907088,1473412.03761257
7289.29729517875,2443560.49365739
5414.81330348881,1254025.66933547
-3171.83874913565,3153992.02768408
-1193.45908967499,1560318.89856044
-1181.89359263855,1826541.43869685
3397.29227691902,1123368.15535463
774.980417163948,1231939.10438629
2488.8087691527,1695918.61183691
3478.93048168186,845541.272961558
4403.73953885585,3526264.22361773
-78.7253552310795,2720529.32808641
14631.4865838023,3113138.33801809
6491.78938552938,1991816.15014832
-1082.84870814387,1873350.40360804
-810.396790087623,3148626.69855026
2213.74134769441,2907814.68029576
-1060.09235604523,2380793.24057863
6002.71384718375,2755303.06131833
-4613.13565509701,1421965.30725452
-994.489072884237,2870356.86561429
4127.00459530925,963767.254786071
16175.4272048488,1198758.08906967
-742.348671910986,2594969.25937978
3189.24116027844,2966320.08890005
3852.50175567254,2490691.92642079
8912.59138715932,2448554.88357882
-5301.28107477526,3699354.74269381
-5230.83601637121,1607729.1585247
66121.4430700486,2498864.53725862
22436.9698854866,2019204.66239668
6567.27606433737,2068442.74061005
-51.8929375844346,2224364.90598659
1695.89861988298,2971528.26818884
539.256050767479,2818727.70591226
1557.52496314313,1672122.20210586
187.718389351121,1502337.29051135
1846.839312478,822491.83361625
5289.80061595493,2097867.94129003
